,T,i
927,0.464,-0.00325261
928,0.4645,-0.00325017
929,0.465,-0.00325017
930,0.4655,-0.00324742
931,0.466,-0.00324528
932,0.4665,-0.00324345
933,0.467,-0.00324162
934,0.4675,-0.00323796
935,0.468,-0.0032401
936,0.4685,-0.00323582
937,0.469,-0.00323643
938,0.4695,-0.00323491
939,0.47,-0.00323277
940,0.4705,-0.00322819
941,0.471,-0.00322819
942,0.4715,-0.00322819
943,0.472,-0.00322819
944,0.4725,-0.00322423
945,0.473,-0.00322453
946,0.4735,-0.0032227
947,0.474,-0.00321965
948,0.4745,-0.00322026
949,0.475,-0.0032166
950,0.4755,-0.00321538
951,0.476,-0.00321171
952,0.4765,-0.00321171
953,0.477,-0.00320897
954,0.4775,-0.00320958
955,0.478,-0.00320836
956,0.4785,-0.00320469
957,0.479,-0.00320561
958,0.4795,-0.00320103
959,0.48,-0.00320317
960,0.4805,-0.0031989
961,0.481,-0.00319737
962,0.4815,-0.00319737
963,0.482,-0.00319584
964,0.4825,-0.00319401
965,0.483,-0.00319279
966,0.4835,-0.00319157
967,0.484,-0.00318852
968,0.4845,-0.00318638
969,0.485,-0.0031873
970,0.4855,-0.00318577
971,0.486,-0.00318364
972,0.4865,-0.00318059
973,0.487,-0.00318059
974,0.4875,-0.00317936
975,0.488,-0.00317753
976,0.4885,-0.00317509
977,0.489,-0.00317418
978,0.4895,-0.0031754
979,0.49,-0.00317235
980,0.4905,-0.00316838
981,0.491,-0.00317021
982,0.4915,-0.00316533
983,0.492,-0.00316533
984,0.4925,-0.00316319
985,0.493,-0.00316105
986,0.4935,-0.00316075
987,0.494,-0.00315983
988,0.4945,-0.00315739
989,0.495,-0.00315739
990,0.4955,-0.00315495
991,0.496,-0.00315251
992,0.4965,-0.00315281
993,0.497,-0.00315129
994,0.4975,-0.00314732
995,0.498,-0.00314671
996,0.4985,-0.00314335
997,0.499,-0.00314457
998,0.4995,-0.00314457
999,0.5,-0.00314366
1000,0.5005,-0.00314091
1001,0.501,-0.00314
1002,0.5015,-0.00313847
1003,0.502,-0.00313389
1004,0.5025,-0.00313572
1005,0.503,-0.00313328
1006,0.5035,-0.00312932
1007,0.504,-0.00313054
1008,0.5045,-0.00312809
1009,0.505,-0.00312657
1010,0.5055,-0.00312535
1011,0.506,-0.00312443
1012,0.5065,-0.0031226
1013,0.507,-0.00312169
1014,0.5075,-0.00311833
1015,0.508,-0.0031165
1016,0.5085,-0.00311772
1017,0.509,-0.00311528
1018,0.5095,-0.00311741
1019,0.51,-0.00311497
1020,0.5105,-0.003111
1021,0.511,-0.00311192
1022,0.5115,-0.0031107
1023,0.512,-0.00310734
1024,0.5125,-0.00310704
1025,0.513,-0.00310551
1026,0.5135,-0.00310368
1027,0.514,-0.0031046
1028,0.5145,-0.0030991
1029,0.515,-0.00309727
1030,0.5155,-0.00309819
1031,0.516,-0.00309727
1032,0.5165,-0.00309636
